serial,digits,pattern_name,pattern_detail,ebay_title
85673107,85673107,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[HEFG, CAOG, HEF, EFG, GCA, CAO]",$1 Bill High-Signal Serial 85673107 2021
85673107,85673107,HIGH-SIGNAL SCORE,29/100 (LOW) | lexical=18 pattern=8,$1 Bill High-Signal Serial 85673107 2021
02839119,02839119,MULTIPLE PAIRS,2 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 02839119 2021
02839119,02839119,A1Z26 LETTER MAPPING,repaired=OBHCIAAI; ignore0=BHCIAAI; zero_repairs=1,$1 Bill High-Signal Serial 02839119 2021
02839119,02839119,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[OBH, HCI, CIA]",$1 Bill High-Signal Serial 02839119 2021
02839119,02839119,HIGH-SIGNAL SCORE,26/100 (LOW) | lexical=7 pattern=10,$1 Bill High-Signal Serial 02839119 2021
00001641,00001641,FULL HOUSE - QUAD,four 0s and two 1s,Full House QUAD Fancy Serial Number 00001641 $1 2021 One Dollar Bill
00001641,00001641,4 IN A ROW,0,4 In A Row 0s LEADING Fancy Serial Number $1 Bill 00001641 2021
00001641,00001641,4-DIGIT LOW SERIAL NUMBER,"#1,641",FOUR DIGIT LOW SERIAL NUMBER 🔥 1641 Quad Zero $1 Bill FANCY 00001641
00001641,00001641,LEADING QUAD ZEROS (4 zeros),quad 0000 prefix,Leading Quad 0s Low Fancy Serial Number 00001641 $1 2021 One Dollar Bill
00001641,00001641,MULTIPLE PAIRS,3 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 00001641 2021
00001641,00001641,A1Z26 LETTER MAPPING,repaired=OOOOAFDA; ignore0=AFDA; zero_repairs=4,$1 Bill High-Signal Serial 00001641 2021
00001641,00001641,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[OOOOAF, AFDA, OAF, AFD, FDA]",$1 Bill High-Signal Serial 00001641 2021
00001641,00001641,HIGH-SIGNAL SCORE,39/100 (LOW) | lexical=10 pattern=26,$1 Bill High-Signal Serial 00001641 2021
31555244,31555244,FULL HOUSE,three 5s and two 4s,Full House Fancy Serial Number 31555244 $1 2021 One Dollar Bill
31555244,31555244,3 IN A ROW,5,3 In A Row 5s  Fancy Serial Number $1 Bill 31555244 2021
31555244,31555244,MULTIPLE PAIRS,2 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 31555244 2021
31555244,31555244,A1Z26 LETTER MAPPING,repaired=CAEEEBDD; ignore0=CAEEEBDD; zero_repairs=0,$1 Bill High-Signal Serial 31555244 2021
31555244,31555244,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[CAE, EEB, EBD]",$1 Bill High-Signal Serial 31555244 2021
31555244,31555244,HIGH-SIGNAL SCORE,34/100 (LOW) | lexical=13 pattern=18,$1 Bill High-Signal Serial 31555244 2021
81887188,81887188,TRINARY,1s 7s & 8s,**TRUE TRINARY** $1 SERIES 2021 5 OF A KIND 8s 81887188 FANCY SERIAL NUMBER
81887188,81887188,5 OF A KIND,8,5 Of A Kind 8s Fancy Serial Number $1 Dollar Bill 81887188 2021
81887188,81887188,BOOKENDS,8s at each end,Bookends Fancy Serial Number $1 Dollar Bill 81887188 2021
81887188,81887188,MULTIPLE PAIRS,3 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 81887188 2021
81887188,81887188,A1Z26 LETTER MAPPING,repaired=HAHHGAHH; ignore0=HAHHGAHH; zero_repairs=0,$1 Bill High-Signal Serial 81887188 2021
81887188,81887188,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[HAHH, HGAH, GAHH, HAH, AHH, HGA]",$1 Bill High-Signal Serial 81887188 2021
81887188,81887188,HIGH-SIGNAL SCORE,55/100 (MEDIUM-HIGH) | lexical=25 pattern=38,$1 Bill High-Signal Serial 81887188 2021
45654846,45654846,FULL HOUSE,three 4s and two 5s,Full House Fancy Serial Number 45654846 $1 2021 One Dollar Bill
45654846,45654846,3 OF A KIND,4,3 Of A Kind 4s Fancy Serial Number $1 Dollar Bill 45654846 2021
45654846,45654846,MULTIPLE PAIRS,3 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 45654846 2021
45654846,45654846,A1Z26 LETTER MAPPING,repaired=DEFEDHDF; ignore0=DEFEDHDF; zero_repairs=0,$1 Bill High-Signal Serial 45654846 2021
45654846,45654846,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[DEFEDH, DEFED, EFEDH, DEFE, EFED, FEDH]",$1 Bill High-Signal Serial 45654846 2021
45654846,45654846,HIGH-SIGNAL SCORE,44/100 (MEDIUM) | lexical=31 pattern=20,$1 Bill High-Signal Serial 45654846 2021
77709737,77709737,3 IN A ROW,7,3 In A Row 7s LEADING Fancy Serial Number $1 Bill 77709737 2021
77709737,77709737,5 OF A KIND,7,5 Of A Kind 7s Fancy Serial Number $1 Dollar Bill 77709737 2021
77709737,77709737,BOOKENDS,7s at each end,Bookends Fancy Serial Number $1 Dollar Bill 77709737 2021
77709737,77709737,MULTIPLE PAIRS,2 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 77709737 2021
77709737,77709737,A1Z26 LETTER MAPPING,repaired=GGGOIGCG; ignore0=GGGIGCG; zero_repairs=1,$1 Bill High-Signal Serial 77709737 2021
77709737,77709737,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[GOIG, GGO, GOI, OIG, IGC, GGIG]",$1 Bill High-Signal Serial 77709737 2021
77709737,77709737,HIGH-SIGNAL SCORE,50/100 (MEDIUM) | lexical=18 pattern=36,$1 Bill High-Signal Serial 77709737 2021
16506628,16506628,3 OF A KIND,6,3 Of A Kind 6s Fancy Serial Number $1 Dollar Bill 16506628 2021
16506628,16506628,A1Z26 LETTER MAPPING,repaired=AFEOFFBH; ignore0=AFEFFBH; zero_repairs=1,$1 Bill High-Signal Serial 16506628 2021
16506628,16506628,LEXICAL SIGNAL MATCHES,"words=[OFF]; names=[none]; brands=[none]; readable=[AFEOF, AFEO, FEOF, AFE, FEO, EOF]",$1 Bill High-Signal Serial 16506628 2021
16506628,16506628,HIGH-SIGNAL SCORE,39/100 (LOW) | lexical=27 pattern=16,$1 Bill High-Signal Serial 16506628 2021
13834562,13834562,4-DIGIT LADDER,consecutive sequential run,$1 Bill Fancy Serial Ladder 4 Digit Ladder Run 13834562 2021
13834562,13834562,A1Z26 LETTER MAPPING,repaired=ACHCDEFB; ignore0=ACHCDEFB; zero_repairs=0,$1 Bill High-Signal Serial 13834562 2021
13834562,13834562,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[CDEF, DEFB, ACH, CDE, DEF, EFB]",$1 Bill High-Signal Serial 13834562 2021
13834562,13834562,HIGH-SIGNAL SCORE,38/100 (LOW) | lexical=24 pattern=16,$1 Bill High-Signal Serial 13834562 2021
20354768,20354768,NO NOTABLE PATTERN,,Fancy Serial Number $1 Bill 20354768 2021
20354768,20354768,A1Z26 LETTER MAPPING,repaired=BOCEDGFH; ignore0=BCEDGFH; zero_repairs=1,$1 Bill High-Signal Serial 20354768 2021
20354768,20354768,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[BOCEDG, BOCED, OCEDG, BOCE, OCED, CEDG]",$1 Bill High-Signal Serial 20354768 2021
20354768,20354768,HIGH-SIGNAL SCORE,26/100 (LOW) | lexical=25 pattern=0,$1 Bill High-Signal Serial 20354768 2021
13553227,13553227,MULTIPLE PAIRS,3 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 13553227 2021
13553227,13553227,A1Z26 LETTER MAPPING,repaired=ACEECBBG; ignore0=ACEECBBG; zero_repairs=0,$1 Bill High-Signal Serial 13553227 2021
13553227,13553227,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[ACEEC, ACEE, CEEC, ACE, CEE, EEC]",$1 Bill High-Signal Serial 13553227 2021
13553227,13553227,HIGH-SIGNAL SCORE,36/100 (LOW) | lexical=26 pattern=12,$1 Bill High-Signal Serial 13553227 2021
12360453,12360453,NO NOTABLE PATTERN,,Fancy Serial Number $1 Bill 12360453 2021
12360453,12360453,A1Z26 LETTER MAPPING,repaired=ABCFODEC; ignore0=ABCFDEC; zero_repairs=1,$1 Bill High-Signal Serial 12360453 2021
12360453,12360453,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[CFODEC, CFODE, FODEC, CFOD, FODE, ODEC]",$1 Bill High-Signal Serial 12360453 2021
12360453,12360453,HIGH-SIGNAL SCORE,32/100 (LOW) | lexical=25 pattern=8,$1 Bill High-Signal Serial 12360453 2021
01140041,01140041,CELEBRITY BIRTHDAY DATASET MATCH,"January 14: 263 entries (e.g., Valdemar I of Denmark, Franchinus Gaffurius, Henry of Stolberg-Wernigerode) [MMDDYYYY]",$1 Bill Date-Match Fancy Serial Number 01140041 2021
01140041,01140041,TRINARY,0s 1s & 4s,**TRUE TRINARY** $1 SERIES 2021 01140041 FANCY SERIAL NUMBER
01140041,01140041,3 OF A KIND,0,3 Of A Kind 0s Fancy Serial Number $1 Dollar Bill 01140041 2021
01140041,01140041,MULTIPLE PAIRS,3 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 01140041 2021
01140041,01140041,A1Z26 LETTER MAPPING,repaired=OAADOODA; ignore0=AADDA; zero_repairs=3,$1 Bill High-Signal Serial 01140041 2021
01140041,01140041,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[ADOODA, ADOOD, DOODA, AADO, ADOO, DOOD]",$1 Bill High-Signal Serial 01140041 2021
01140041,01140041,HIGH-SIGNAL SCORE,45/100 (MEDIUM) | lexical=21 pattern=28,$1 Bill High-Signal Serial 01140041 2021
42247777,42247777,FULL HOUSE - QUAD,four 7s and two 4s,Full House QUAD Fancy Serial Number 42247777 $1 2021 One Dollar Bill
42247777,42247777,TRINARY,2s 4s & 7s,**TRUE TRINARY** $1 SERIES 2021 42247777 FANCY SERIAL NUMBER
42247777,42247777,4 IN A ROW,7,4 In A Row 7s TRAILING Fancy Serial Number $1 Bill 42247777 2021
42247777,42247777,MULTIPLE PAIRS - QUAD DOUBLES,4 pairs,$1 DOLLAR BILL FOUR PAIRS OF #S QUAD DOUBLES FANCY SERIAL NUMBER 42247777 2021
42247777,42247777,A1Z26 LETTER MAPPING,repaired=DBBDGGGG; ignore0=DBBDGGGG; zero_repairs=0,$1 Bill High-Signal Serial 42247777 2021
42247777,42247777,LEXICAL SIGNAL MATCHES,words=[none]; names=[none]; brands=[none]; readable=[none],$1 Bill High-Signal Serial 42247777 2021
42247777,42247777,HIGH-SIGNAL SCORE,38/100 (LOW) | lexical=4 pattern=28,$1 Bill High-Signal Serial 42247777 2021
27127127,27127127,CELEBRITY BIRTHDAY DATASET MATCH,"December 27: 200 entries (e.g., Anne de Mortimer, John I Albert, Johann Arndt) [DDMMYYYY]",$1 Bill Date-Match Fancy Serial Number 27127127 2021
27127127,27127127,TRINARY,1s 2s & 7s,**TRUE TRINARY** $1 SERIES 2021 27127127 FANCY SERIAL NUMBER
27127127,27127127,3 OF A KIND,2,3 Of A Kind 2s Fancy Serial Number $1 Dollar Bill 27127127 2021
27127127,27127127,DOUBLE BOOKENDS,27 at each end,Bookends Fancy Serial Number $1 Dollar Bill 27127127 2021
27127127,27127127,MULTIPLE PAIRS,3 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 27127127 2021
27127127,27127127,A1Z26 LETTER MAPPING,repaired=BGABGABG; ignore0=BGABGABG; zero_repairs=0,$1 Bill High-Signal Serial 27127127 2021
27127127,27127127,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[GABGAB, GABGA, ABGAB, BGAB, GABG, ABGA]",$1 Bill High-Signal Serial 27127127 2021
27127127,27127127,HIGH-SIGNAL SCORE,54/100 (MEDIUM) | lexical=31 pattern=33,$1 Bill High-Signal Serial 27127127 2021
00334471,00334471,MULTIPLE PAIRS,3 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 00334471 2021
00334471,00334471,A1Z26 LETTER MAPPING,repaired=OOCCDDGA; ignore0=CCDDGA; zero_repairs=2,$1 Bill High-Signal Serial 00334471 2021
00334471,00334471,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[OOC, OCC, DGA]",$1 Bill High-Signal Serial 00334471 2021
00334471,00334471,HIGH-SIGNAL SCORE,26/100 (LOW) | lexical=5 pattern=12,$1 Bill High-Signal Serial 00334471 2021
22339957,22339957,MULTIPLE PAIRS,3 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 22339957 2021
22339957,22339957,A1Z26 LETTER MAPPING,repaired=BBCCIIEG; ignore0=BBCCIIEG; zero_repairs=0,$1 Bill High-Signal Serial 22339957 2021
22339957,22339957,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[CCI, CII, IEG]",$1 Bill High-Signal Serial 22339957 2021
22339957,22339957,HIGH-SIGNAL SCORE,30/100 (LOW) | lexical=13 pattern=12,$1 Bill High-Signal Serial 22339957 2021
43373325,43373325,4 OF A KIND,3,4 Of A Kind 3s Fancy Serial Number $1 Dollar Bill 43373325 2021
43373325,43373325,MULTIPLE PAIRS,2 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 43373325 2021
43373325,43373325,A1Z26 LETTER MAPPING,repaired=DCCGCCBE; ignore0=DCCGCCBE; zero_repairs=0,$1 Bill High-Signal Serial 43373325 2021
43373325,43373325,LEXICAL SIGNAL MATCHES,words=[none]; names=[none]; brands=[none]; readable=[CBE],$1 Bill High-Signal Serial 43373325 2021
43373325,43373325,HIGH-SIGNAL SCORE,36/100 (LOW) | lexical=7 pattern=24,$1 Bill High-Signal Serial 43373325 2021
73896176,73896176,MULTIPLE PAIRS,2 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 73896176 2021
73896176,73896176,A1Z26 LETTER MAPPING,repaired=GCHIFAGF; ignore0=GCHIFAGF; zero_repairs=0,$1 Bill High-Signal Serial 73896176 2021
73896176,73896176,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[CHIFAG, HIFAGF, CHIFA, HIFAG, IFAGF, CHIF]",$1 Bill High-Signal Serial 73896176 2021
73896176,73896176,HIGH-SIGNAL SCORE,37/100 (LOW) | lexical=33 pattern=10,$1 Bill High-Signal Serial 73896176 2021
53062905,53062905,BOOKENDS,5s at each end,Bookends Fancy Serial Number $1 Dollar Bill 53062905 2021
53062905,53062905,MULTIPLE PAIRS,2 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 53062905 2021
53062905,53062905,A1Z26 LETTER MAPPING,repaired=ECOFBIOE; ignore0=ECFBIE; zero_repairs=2,$1 Bill High-Signal Serial 53062905 2021
53062905,53062905,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[ECOFBI, ECOFB, COFBI, ECOF, COFB, OFBI]",$1 Bill High-Signal Serial 53062905 2021
53062905,53062905,HIGH-SIGNAL SCORE,36/100 (LOW) | lexical=23 pattern=14,$1 Bill High-Signal Serial 53062905 2021
44032992,44032992,MULTIPLE PAIRS,3 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 44032992 2021
44032992,44032992,A1Z26 LETTER MAPPING,repaired=DDOCBIIB; ignore0=DDCBIIB; zero_repairs=1,$1 Bill High-Signal Serial 44032992 2021
44032992,44032992,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[DOCBI, DDOC, DOCB, OCBI, BIIB, DDO]",$1 Bill High-Signal Serial 44032992 2021
44032992,44032992,HIGH-SIGNAL SCORE,34/100 (LOW) | lexical=22 pattern=12,$1 Bill High-Signal Serial 44032992 2021
83543349,83543349,FULL HOUSE,three 3s and two 4s,Full House Fancy Serial Number 83543349 $1 2021 One Dollar Bill
83543349,83543349,3 OF A KIND,3,3 Of A Kind 3s Fancy Serial Number $1 Dollar Bill 83543349 2021
83543349,83543349,MULTIPLE PAIRS,2 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 83543349 2021
83543349,83543349,A1Z26 LETTER MAPPING,repaired=HCEDCCDI; ignore0=HCEDCCDI; zero_repairs=0,$1 Bill High-Signal Serial 83543349 2021
83543349,83543349,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[HCED, CEDC, HCE, CED, EDC, CDI]",$1 Bill High-Signal Serial 83543349 2021
83543349,83543349,HIGH-SIGNAL SCORE,39/100 (LOW) | lexical=24 pattern=18,$1 Bill High-Signal Serial 83543349 2021
20120492,20120492,CELEBRITY BIRTHDAY DATASET MATCH,"December 20: 209 entries (e.g., Oronce Finé, John III, Paulus Melissus) [DDMMYYYY]",$1 Bill Date-Match Fancy Serial Number 20120492 2021
20120492,20120492,FULL HOUSE,three 2s and two 0s,Full House Fancy Serial Number 20120492 $1 2021 One Dollar Bill
20120492,20120492,3 OF A KIND,2,3 Of A Kind 2s Fancy Serial Number $1 Dollar Bill 20120492 2021
20120492,20120492,BOOKENDS,2s at each end,Bookends Fancy Serial Number $1 Dollar Bill 20120492 2021
20120492,20120492,MULTIPLE PAIRS,2 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 20120492 2021
20120492,20120492,A1Z26 LETTER MAPPING,repaired=BOABODIB; ignore0=BABDIB; zero_repairs=2,$1 Bill High-Signal Serial 20120492 2021
20120492,20120492,LEXICAL SIGNAL MATCHES,"words=[BOD]; names=[none]; brands=[none]; readable=[BOABOD, OABODI, ABODIB, BOABO, OABOD, ABODI]",$1 Bill High-Signal Serial 20120492 2021
20120492,20120492,HIGH-SIGNAL SCORE,51/100 (MEDIUM) | lexical=33 pattern=28,$1 Bill High-Signal Serial 20120492 2021
19286250,19286250,NO NOTABLE PATTERN,,Fancy Serial Number $1 Bill 19286250 2021
19286250,19286250,A1Z26 LETTER MAPPING,repaired=AIBHFBEO; ignore0=AIBHFBE; zero_repairs=1,$1 Bill High-Signal Serial 19286250 2021
19286250,19286250,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[AIB, IBH, FBE, BEO]",$1 Bill High-Signal Serial 19286250 2021
19286250,19286250,HIGH-SIGNAL SCORE,26/100 (LOW) | lexical=10 pattern=8,$1 Bill High-Signal Serial 19286250 2021
15892772,15892772,MULTIPLE PAIRS,2 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 15892772 2021
15892772,15892772,A1Z26 LETTER MAPPING,repaired=AEHIBGGB; ignore0=AEHIBGGB; zero_repairs=0,$1 Bill High-Signal Serial 15892772 2021
15892772,15892772,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[AEHIB, EHIBG, AEHI, EHIB, HIBG, AEH]",$1 Bill High-Signal Serial 15892772 2021
15892772,15892772,HIGH-SIGNAL SCORE,36/100 (LOW) | lexical=29 pattern=10,$1 Bill High-Signal Serial 15892772 2021
02090649,02090649,CELEBRITY BIRTHDAY DATASET MATCH,"February 09: 266 entries (e.g., Constantine XI Palaeologus, Ali-Shir Nava'i, Shimazu Yoshihisa) [MMDDYYYY]; September 02: 199 entries (e.g., Gilbert de Clare, Vincenzo Scamozzi, Georg Böhm) [DDMMYYYY]",$1 Bill Date-Match Fancy Serial Number 02090649 2021
02090649,02090649,FULL HOUSE,three 0s and two 9s,Full House Fancy Serial Number 02090649 $1 2021 One Dollar Bill
02090649,02090649,3 OF A KIND,0,3 Of A Kind 0s Fancy Serial Number $1 Dollar Bill 02090649 2021
02090649,02090649,MULTIPLE PAIRS,2 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 02090649 2021
02090649,02090649,A1Z26 LETTER MAPPING,repaired=OBOIOFDI; ignore0=BIFDI; zero_repairs=3,$1 Bill High-Signal Serial 02090649 2021
02090649,02090649,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[OBOI, OFDI, OBO, BOI, IOF, OFD]",$1 Bill High-Signal Serial 02090649 2021
02090649,02090649,HIGH-SIGNAL SCORE,39/100 (LOW) | lexical=14 pattern=24,$1 Bill High-Signal Serial 02090649 2021
30636409,30636409,MULTIPLE PAIRS,3 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 30636409 2021
30636409,30636409,A1Z26 LETTER MAPPING,repaired=COFCFDOI; ignore0=CFCFDI; zero_repairs=2,$1 Bill High-Signal Serial 30636409 2021
30636409,30636409,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[COFC, COF, OFC, FDO, DOI, CFCFDI]",$1 Bill High-Signal Serial 30636409 2021
30636409,30636409,HIGH-SIGNAL SCORE,32/100 (LOW) | lexical=17 pattern=12,$1 Bill High-Signal Serial 30636409 2021
39261656,39261656,3 OF A KIND,6,3 Of A Kind 6s Fancy Serial Number $1 Dollar Bill 39261656 2021
39261656,39261656,A1Z26 LETTER MAPPING,repaired=CIBFAFEF; ignore0=CIBFAFEF; zero_repairs=0,$1 Bill High-Signal Serial 39261656 2021
39261656,39261656,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[CIBFAF, IBFAFE, BFAFEF, CIBFA, IBFAF, BFAFE]",$1 Bill High-Signal Serial 39261656 2021
39261656,39261656,HIGH-SIGNAL SCORE,42/100 (MEDIUM) | lexical=34 pattern=16,$1 Bill High-Signal Serial 39261656 2021
40647799,40647799,MULTIPLE PAIRS,3 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 40647799 2021
40647799,40647799,A1Z26 LETTER MAPPING,repaired=DOFDGGII; ignore0=DFDGGII; zero_repairs=1,$1 Bill High-Signal Serial 40647799 2021
40647799,40647799,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[DOFD, DOF, OFD, GGI, GII]",$1 Bill High-Signal Serial 40647799 2021
40647799,40647799,HIGH-SIGNAL SCORE,30/100 (LOW) | lexical=14 pattern=12,$1 Bill High-Signal Serial 40647799 2021
14254063,14254063,NO NOTABLE PATTERN,,Fancy Serial Number $1 Bill 14254063 2021
14254063,14254063,A1Z26 LETTER MAPPING,repaired=ADBEDOFC; ignore0=ADBEDFC; zero_repairs=1,$1 Bill High-Signal Serial 14254063 2021
